VisCanvas Save File Format,,Extent,ShapeFactor4,Solidity,Perimeter,Area,ConvexArea,EquivDiameter,roundness,MajorAxisLength,MinorAxisLength,ShapeFactor1,AspectRation,Eccentricity,Compactness,ShapeFactor3,ShapeFactor2
SEKER,18,0.762984,0.999202,0.988751,639.782,31203,31558,199.321,0.957949,215.068,184.875,0.00689253,1.16332,0.510947,0.926783,0.858926,0.00313668
SEKER,19,0.770322,0.999364,0.98984,638.666,31272,31593,199.541,0.963425,212.45,187.536,0.00679363,1.13285,0.469883,0.939238,0.882167,0.00326125
SEKER,20,0.774277,0.999302,0.991645,635.011,31335,31599,199.742,0.976511,216.79,184.163,0.00691847,1.17716,0.527587,0.921362,0.848909,0.00307547
SEKER,21,0.769197,0.99823,0.992722,636.401,31374,31604,199.866,0.97346,219.865,182.009,0.00700789,1.20799,0.560995,0.90904,0.826354,0.00295188
SEKER,22,0.768949,0.998491,0.99179,638.857,31530,31791,200.363,0.970793,213.786,188.066,0.00678039,1.13676,0.475536,0.937213,0.878369,0.00322692
SEKER,23,0.756965,0.997538,0.980619,674.103,31573,32197,200.499,0.873119,217.307,185.448,0.00688269,1.17179,0.521268,0.922655,0.851292,0.00307677
SEKER,24,0.761823,0.999091,0.987268,656.711,31637,32045,200.702,0.921842,229.719,175.51,0.0072611,1.30886,0.645191,0.873686,0.763327,0.00260977
SEKER,25,0.740936,0.99495,0.989565,657.431,31675,32009,200.823,0.920929,236.753,171.211,0.00747443,1.38282,0.690678,0.84824,0.71951,0.00238689
SEKER,26,0.773184,0.998956,0.989259,646.721,31682,32026,200.845,0.951894,210.046,192.248,0.00662981,1.09257,0.402842,0.956197,0.914314,0.00341878
SEKER,27,0.777111,0.999237,0.987848,656.305,31703,32093,200.912,0.924909,215.709,187.272,0.00680405,1.15185,0.496263,0.931402,0.86751,0.00315861
SEKER,28,0.77559,0.998978,0.991505,641.826,31748,32020,201.054,0.968482,219.777,184.115,0.00692253,1.19369,0.546073,0.914812,0.836881,0.0029907
SEKER,29,0.777674,0.99872,0.987412,650.954,31768,32173,201.118,0.942105,220.959,183.292,0.00695541,1.2055,0.558465,0.910201,0.828466,0.00294477
SEKER,30,0.773877,0.999515,0.992481,642.092,31811,32052,201.254,0.9696,223.985,180.917,0.00704111,1.23805,0.589565,0.898515,0.807329,0.00283089
SEKER,31,0.772354,0.997847,0.989213,649.681,31821,32168,201.285,0.947378,213.736,189.969,0.00671681,1.12511,0.458287,0.941749,0.886891,0.00325899
SEKER,32,0.774848,0.999481,0.986026,662.532,31823,32274,201.292,0.91104,222.873,181.895,0.00700351,1.22528,0.577858,0.903168,0.815713,0.00287456
SEKER,33,0.785246,0.998843,0.987561,656.404,31837,32238,201.336,0.928538,224.913,180.439,0.0070645,1.24647,0.596968,0.895174,0.801336,0.00279828
SEKER,34,0.777656,0.998847,0.991642,640.718,31915,32184,201.582,0.976947,216.32,188.065,0.00677802,1.15024,0.494138,0.931869,0.868381,0.00315285
SEKER,35,0.772271,0.999253,0.991503,639.974,31972,32246,201.762,0.980968,213.687,190.645,0.00668358,1.12087,0.451705,0.944193,0.891501,0.00327667
SEKER,36,0.774212,0.999221,0.991754,640.338,31992,32258,201.825,0.980466,212.887,191.487,0.00665439,1.11176,0.436968,0.948038,0.898777,0.00331583
SEKER,37,0.789741,0.997783,0.987744,654.535,31994,32391,201.832,0.938453,212.171,192.423,0.0066316,1.10263,0.421302,0.951267,0.904909,0.00334972
SEKER,38,0.761881,0.998057,0.98888,653.676,32015,32375,201.898,0.941539,212.93,191.81,0.00665095,1.11011,0.434207,0.948189,0.899063,0.00331622
SEKER,39,0.779449,0.997779,0.990015,654.237,32026,32349,201.933,0.940248,230.979,176.932,0.00721224,1.30547,0.642831,0.874246,0.764307,0.00259887
SEKER,40,0.770515,0.998765,0.991643,645.085,32038,32308,201.97,0.967479,224.482,181.941,0.00700675,1.23382,0.585751,0.899716,0.80949,0.00283217
SEKER,41,0.778069,0.99888,0.989165,652.651,32044,32395,201.989,0.945354,216.147,188.971,0.00674532,1.14381,0.485444,0.934499,0.873289,0.00317321
SEKER,42,0.779805,0.998585,0.992446,642.082,32057,32301,202.03,0.977129,215.918,189.303,0.00673545,1.14059,0.480971,0.935679,0.875496,0.0031846
SEKER,43,0.780879,0.996815,0.987223,669.313,32066,32481,202.059,0.89949,236.437,173.231,0.00737344,1.36486,0.68058,0.8546,0.73034,0.00242605
SEKER,44,0.767625,0.998697,0.985937,663.582,32109,32567,202.194,0.916321,224.472,182.364,0.00699095,1.2309,0.583081,0.900753,0.811355,0.00283882
SEKER,45,0.760671,0.998971,0.991387,648.566,32114,32393,202.21,0.959392,222.658,183.829,0.00693335,1.21122,0.564236,0.908165,0.824764,0.00290926
SEKER,46,0.760593,0.998418,0.989115,654.893,32167,32521,202.377,0.942496,217.961,188.205,0.0067759,1.1581,0.504382,0.928501,0.862115,0.00310654
SEKER,47,0.762907,0.999401,0.988584,658.216,32213,32585,202.521,0.934338,221.481,185.295,0.00687552,1.19529,0.547784,0.914395,0.836119,0.00296497
SEKER,48,0.754432,0.998636,0.989314,653.595,32218,32566,202.537,0.947744,222.756,184.405,0.00691402,1.20797,0.560976,0.909232,0.826703,0.00291481
SEKER,49,0.775204,0.999538,0.985417,665.493,32233,32710,202.584,0.914584,221.234,185.592,0.00686358,1.19204,0.54429,0.915702,0.83851,0.00297678
SEKER,50,0.764061,0.998897,0.991911,644.051,32251,32514,202.641,0.97704,220.981,186.028,0.00685191,1.18789,0.539747,0.917005,0.840899,0.00298867
SEKER,51,0.775806,0.998572,0.989145,654.808,32258,32612,202.663,0.945408,220.804,186.278,0.00684494,1.18535,0.536919,0.91784,0.842429,0.00299651
SEKER,52,0.781314,0.99967,0.990756,652.419,32262,32563,202.675,0.952463,222.699,184.513,0.00690282,1.20695,0.559942,0.910087,0.828259,0.00292105
SEKER,53,0.790184,0.999029,0.989455,646.556,32279,32623,202.729,0.970326,218.182,188.553,0.00675924,1.15714,0.503144,0.929174,0.863364,0.00310789
SEKER,54,0.784844,0.998621,0.991047,649.59,32323,32615,202.867,0.962593,217.371,189.591,0.00672498,1.14653,0.48915,0.933272,0.870997,0.00314705
SEKER,55,0.782491,0.999062,0.989777,653.602,32338,32672,202.914,0.951254,221.411,186.136,0.00684679,1.18951,0.541531,0.916456,0.839892,0.00297929
SEKER,56,0.783794,0.998979,0.988845,657.166,32355,32720,202.967,0.941458,221.28,186.36,0.00683912,1.18737,0.539174,0.917243,0.841334,0.00298619
SEKER,57,0.759099,0.998661,0.986649,675.385,32368,32806,203.008,0.891709,221.658,186.176,0.00684806,1.19058,0.542702,0.915861,0.838801,0.00297211
SEKER,58,0.784302,0.999034,0.992885,643.009,32376,32608,203.033,0.984009,219.13,188.3,0.00676829,1.16373,0.511457,0.926541,0.858479,0.00307693
SEKER,59,0.76932,0.99912,0.989565,653.76,32433,32775,203.212,0.953587,219.837,188.009,0.00677818,1.16929,0.518261,0.924376,0.85447,0.00305272
SEKER,60,0.765034,0.999222,0.990783,653.85,32465,32767,203.312,0.954265,225.202,183.692,0.00693678,1.22598,0.57851,0.902796,0.815041,0.00284247
SEKER,61,0.784983,0.998987,0.989983,649.012,32514,32843,203.465,0.970007,221.445,187.134,0.00681077,1.18335,0.534674,0.918805,0.844203,0.00299412
SEKER,62,0.758915,0.999285,0.99107,651.651,32518,32811,203.478,0.962285,221.263,187.256,0.00680432,1.18161,0.532696,0.91962,0.845702,0.00300192
SEKER,63,0.794032,0.999099,0.990135,655.131,32518,32842,203.478,0.952089,220.821,187.666,0.00679074,1.17667,0.52702,0.921459,0.849087,0.00301996
SEKER,64,0.769058,0.998781,0.985606,663.914,32525,33000,203.5,0.927264,225.078,184.215,0.00692015,1.22182,0.574579,0.90413,0.817451,0.00285246
SEKER,65,0.781922,0.999218,0.990183,657.571,32578,32901,203.665,0.94678,227.038,182.842,0.00696905,1.24171,0.592814,0.897056,0.804709,0.00278376
SEKER,66,0.772062,0.999569,0.991781,649.583,32581,32851,203.675,0.970298,224.424,184.923,0.00688819,1.21361,0.566603,0.907544,0.823636,0.00288241
SEKER,67,0.808563,0.996644,0.987854,664.789,32615,33016,203.781,0.927384,218.147,191.002,0.00668854,1.14212,0.483095,0.934147,0.87263,0.00314175
SEKER,68,0.779312,0.996532,0.99149,657.009,32622,32902,203.803,0.949681,235.271,177.158,0.00721203,1.32803,0.658024,0.866248,0.750385,0.00250499
SEKER,69,0.767685,0.999338,0.991029,653.049,32698,32994,204.04,0.963473,225.014,185.144,0.00688159,1.21535,0.568318,0.906788,0.822264,0.00287006
SEKER,70,0.77947,0.999204,0.99043,654.454,32705,33021,204.062,0.959546,223.876,186.15,0.00684531,1.20266,0.555544,0.911496,0.830825,0.00291469
SEKER,71,0.799516,0.999312,0.990703,660.043,32713,33020,204.087,0.943595,215.416,193.486,0.00658504,1.11334,0.439592,0.947407,0.89758,0.00327254
SEKER,72,0.769153,0.998424,0.989808,656.679,32729,33066,204.137,0.953754,214.266,194.794,0.00654666,1.09996,0.416528,0.952728,0.90769,0.00332717
SEKER,73,0.790154,0.998699,0.989553,660.614,32774,33120,204.277,0.943721,222.87,187.479,0.00680021,1.18877,0.540717,0.916575,0.84011,0.00296056
SEKER,74,0.772631,0.999224,0.991319,649.807,32775,33062,204.28,0.975402,220.025,189.809,0.0067132,1.15919,0.505764,0.928441,0.862002,0.00307699
SEKER,75,0.775993,0.998967,0.991055,651.03,32795,33091,204.343,0.972334,225.21,185.6,0.00686721,1.21342,0.566416,0.907341,0.823268,0.00287107
SEKER,76,0.80082,0.998456,0.990487,654.824,32796,33111,204.346,0.961129,223.145,187.419,0.00680404,1.19062,0.542745,0.915751,0.838601,0.0029516
SEKER,77,0.746178,0.998905,0.991296,653.729,32799,33087,204.355,0.964439,219.906,190.112,0.00670464,1.15671,0.502602,0.929286,0.863572,0.00308427
SEKER,78,0.789785,0.998001,0.990197,658.101,32829,33154,204.448,0.952538,221.6,189.003,0.00675011,1.17247,0.522071,0.922604,0.851197,0.00301683
SEKER,79,0.802915,0.998253,0.988292,669.19,32836,33225,204.47,0.921428,218.406,191.759,0.00665142,1.13896,0.478675,0.936193,0.876458,0.00315178
SEKER,80,0.746568,0.997432,0.988088,664.105,32849,33245,204.511,0.935963,230.722,181.744,0.00702372,1.26949,0.616038,0.886393,0.785693,0.00267457
SEKER,81,0.781243,0.999493,0.99012,655.512,32870,33198,204.576,0.961276,220.358,190.021,0.00670393,1.15965,0.506353,0.92838,0.861889,0.00307194
SEKER,82,0.78567,0.999117,0.989767,659.728,32885,33225,204.623,0.949463,227.067,184.56,0.00690489,1.23032,0.582547,0.901154,0.812079,0.00280888
SEKER,83,0.777975,0.999213,0.986337,671.612,32920,33376,204.732,0.917134,219.093,191.462,0.00665532,1.14432,0.486133,0.93445,0.873197,0.00313021
SEKER,84,0.768683,0.998658,0.990166,656.646,32925,33252,204.747,0.959562,225.128,186.462,0.00683761,1.20737,0.560365,0.909469,0.827135,0.0028856
SEKER,85,0.776709,0.998889,0.986018,668.197,32934,33401,204.775,0.926927,221.409,189.602,0.0067228,1.16776,0.516408,0.924874,0.855392,0.00303431
SEKER,86,0.765319,0.99901,0.988331,668.231,32947,33336,204.816,0.927198,209.693,200.25,0.00636456,1.04716,0.296721,0.976739,0.954019,0.00357324
SEKER,87,0.770802,0.99777,0.982908,688.26,32951,33524,204.828,0.874125,226.649,185.522,0.00687837,1.22169,0.574448,0.903723,0.816716,0.00283013
SEKER,88,0.766699,0.998412,0.985864,676.797,32988,33461,204.943,0.905001,224.752,187.177,0.00681313,1.20074,0.553547,0.911864,0.831496,0.00290567
SEKER,89,0.757018,0.998741,0.986491,669.769,33006,33458,204.999,0.924597,223.528,188.243,0.00677234,1.18744,0.53925,0.917107,0.841085,0.00295528
SEKER,90,0.791588,0.999637,0.989093,665.85,33010,33374,205.011,0.935627,224.971,186.89,0.00681525,1.20376,0.556677,0.911278,0.830427,0.00289911
SEKER,91,0.789785,0.998953,0.991709,652.684,33013,33289,205.021,0.973843,223.782,188.029,0.0067786,1.19014,0.542224,0.916163,0.839354,0.00294585
SEKER,92,0.764329,0.998957,0.990372,655.703,33019,33340,205.039,0.965071,224.45,187.503,0.00679761,1.19705,0.549663,0.913518,0.834515,0.00292014
SEKER,93,0.777927,0.998562,0.98887,663.071,33051,33423,205.139,0.944658,218.951,192.474,0.00662465,1.13756,0.47669,0.936914,0.877808,0.00314877
SEKER,94,0.799275,0.998157,0.992137,655.511,33058,33320,205.16,0.966777,224.446,187.878,0.00678946,1.19464,0.547087,0.914075,0.835533,0.00292376
SEKER,95,0.778662,0.998979,0.988726,667.966,33062,33439,205.173,0.931173,222.039,189.781,0.00671584,1.16997,0.519089,0.924039,0.853847,0.00302023
SEKER,96,0.787721,0.999221,0.99235,659.456,33078,33333,205.222,0.955823,235.56,178.931,0.00712135,1.31648,0.650392,0.87121,0.759007,0.00253066
SEKER,97,0.772417,0.999387,0.992529,652.214,33078,33327,205.222,0.977167,221.387,190.355,0.00669287,1.16302,0.510583,0.926985,0.859301,0.00304848
SEKER,98,0.77441,0.998154,0.988735,663.915,33089,33466,205.256,0.943341,217.336,194.207,0.00656822,1.11909,0.448903,0.944421,0.891931,0.00322322
SEKER,99,0.769356,0.998753,0.992144,653.809,33090,33352,205.26,0.972758,228.407,184.689,0.00690259,1.23671,0.588365,0.898658,0.807587,0.00277697
SEKER,100,0.76998,0.999465,0.992989,648.385,33143,33377,205.424,0.990685,222.526,189.737,0.00671413,1.17281,0.52248,0.923144,0.852195,0.00300779
SEKER,101,0.788111,0.999038,0.992339,653.801,33159,33415,205.473,0.97481,222.444,189.98,0.00670841,1.17088,0.520175,0.923709,0.853238,0.00301258
SEKER,102,0.76124,0.998049,0.98885,680.621,33168,33542,205.501,0.899743,234.316,180.583,0.00706451,1.29755,0.63722,0.877028,0.769179,0.0025782
SEKER,103,0.790237,0.998253,0.992282,654.338,33171,33429,205.511,0.973563,222.254,190.361,0.00670024,1.16753,0.516138,0.924667,0.855009,0.00302142
SEKER,104,0.773699,0.999146,0.990274,664.658,33194,33520,205.582,0.94422,232.309,182.086,0.00699851,1.27582,0.621002,0.884952,0.78314,0.00264767
SEKER,105,0.768285,0.998826,0.988843,660.788,33236,33611,205.712,0.956521,210.858,200.927,0.00634427,1.04942,0.303273,0.975595,0.951785,0.00354518
SEKER,106,0.787662,0.999199,0.992152,660.068,33248,33511,205.749,0.958955,230.97,183.429,0.00694688,1.25918,0.607696,0.890805,0.793533,0.00269836
SEKER,107,0.757944,0.998512,0.990645,658.962,33251,33565,205.758,0.962263,217.452,194.983,0.00653972,1.11523,0.442694,0.946223,0.895339,0.0032338
SEKER,108,0.759657,0.998605,0.98284,704.493,33276,33857,205.836,0.842534,234.788,180.705,0.00705578,1.29929,0.638462,0.876687,0.76858,0.002571
SEKER,109,0.782617,0.99882,0.988635,670.587,33316,33699,205.959,0.931006,229.218,185.279,0.00688012,1.23715,0.588757,0.89853,0.807356,0.00276634
SEKER,110,0.796039,0.99839,0.987756,668.601,33319,33732,205.969,0.936629,225.017,188.837,0.00675342,1.1916,0.543809,0.915346,0.837858,0.00292445
SEKER,111,0.798969,0.999129,0.988843,674.433,33325,33701,205.987,0.920667,223.825,189.736,0.00671644,1.17967,0.530484,0.920303,0.846957,0.00297195
SEKER,112,0.790185,0.998499,0.992555,653.776,33330,33580,206.003,0.979912,224.36,189.431,0.00673148,1.18439,0.535842,0.918178,0.843051,0.0029512
SEKER,113,0.772241,0.998608,0.985192,679.262,33333,33834,206.012,0.907841,220.531,192.717,0.00661601,1.14433,0.486151,0.934162,0.872658,0.00310788
SEKER,114,0.776747,0.999104,0.991052,659.103,33338,33639,206.027,0.964368,232.264,182.919,0.00696694,1.26977,0.616255,0.88704,0.78684,0.00266069
SEKER,115,0.763352,0.998694,0.989671,661.508,33344,33692,206.046,0.957541,225.318,188.669,0.00675738,1.19425,0.546678,0.914467,0.836249,0.00291494
SEKER,116,0.781688,0.998892,0.989683,659.434,33382,33730,206.163,0.964672,222.87,190.92,0.00667636,1.16735,0.515909,0.925038,0.855695,0.00301548
SEKER,117,0.761491,0.999189,0.989541,664.701,33399,33752,206.216,0.949928,221.56,192.09,0.00663373,1.15342,0.498328,0.930745,0.866286,0.00307086
SEKER,118,0.763385,0.998963,0.991986,654.804,33421,33691,206.284,0.979505,219.544,194.025,0.00656905,1.13152,0.467931,0.9396,0.882848,0.00315831
SEKER,119,0.772983,0.999244,0.991574,659.036,33423,33707,206.29,0.967023,224.168,189.981,0.006707,1.17995,0.530805,0.920246,0.846853,0.00296705
SEKER,120,0.754492,0.999254,0.989286,665.61,33427,33789,206.302,0.948129,228.223,186.626,0.00682751,1.22289,0.575596,0.903949,0.817124,0.00281202
SEKER,121,0.791744,0.998954,0.991576,658.605,33429,33713,206.308,0.968463,229.446,185.698,0.00686368,1.23559,0.587351,0.899158,0.808485,0.00276746
SEKER,122,0.788709,0.999387,0.989434,666.841,33431,33788,206.314,0.944745,219.907,193.68,0.00657795,1.13541,0.473607,0.938188,0.880197,0.00314362
SEKER,123,0.776807,0.998016,0.991842,657.349,33433,33708,206.321,0.972284,225.003,189.566,0.00672995,1.18693,0.538687,0.916971,0.840835,0.00293503
SEKER,124,0.767815,0.99819,0.99208,656.077,33446,33713,206.361,0.976437,224.234,190.257,0.00670436,1.17859,0.529238,0.920292,0.846938,0.00296647
SEKER,125,0.770225,0.997851,0.98982,664.412,33447,33791,206.364,0.952121,226.119,188.741,0.00676051,1.19804,0.550709,0.912635,0.832903,0.002893
SEKER,126,0.786309,0.999322,0.990937,655.414,33459,33765,206.401,0.978794,219.13,194.543,0.00654921,1.12638,0.460234,0.941911,0.887196,0.00317986
SEKER,127,0.79233,0.999429,0.991703,659.987,33468,33748,206.429,0.965537,224.46,189.954,0.0067067,1.18165,0.53275,0.919668,0.845789,0.00295947
SEKER,128,0.781495,0.998935,0.99268,657.523,33498,33745,206.521,0.973659,227.938,187.316,0.00680453,1.21686,0.569798,0.906041,0.820909,0.00282858
SEKER,129,0.783505,0.999529,0.992336,657.067,33534,33793,206.632,0.976059,218.845,195.193,0.00652606,1.12117,0.452186,0.944195,0.891504,0.00319946
SEKER,130,0.760516,0.998623,0.992249,658.284,33538,33800,206.644,0.972569,227.519,187.944,0.00678391,1.21057,0.563582,0.908252,0.824923,0.00284765
SEKER,131,0.764265,0.998474,0.988913,662.418,33539,33915,206.647,0.960496,223.684,191.201,0.00666936,1.16989,0.518988,0.923839,0.853478,0.00299673
SEKER,132,0.78357,0.999495,0.991576,653.512,33547,33832,206.672,0.987089,213.754,199.926,0.00637178,1.06917,0.353837,0.966869,0.934835,0.00343487
SEKER,133,0.739859,0.997912,0.990058,669.259,33560,33897,206.712,0.94155,227.936,187.857,0.0067919,1.21335,0.566352,0.906886,0.822443,0.00283389
SEKER,134,0.761792,0.999403,0.989654,666.339,33576,33927,206.761,0.950273,224.589,190.463,0.00668897,1.17917,0.529912,0.920623,0.847546,0.00296391
SEKER,135,0.775302,0.999532,0.991585,657.754,33583,33868,206.783,0.975444,221.711,192.95,0.00660188,1.14906,0.49256,0.932669,0.869871,0.00308147
SEKER,136,0.748057,0.998779,0.991146,658.848,33584,33884,206.786,0.972236,223.735,191.354,0.00666196,1.16922,0.518179,0.924245,0.854228,0.00299868
SEKER,137,0.770803,0.998574,0.983754,690.171,33607,34162,206.857,0.886597,214.765,199.524,0.00639049,1.07639,0.369996,0.963176,0.927709,0.00339264
SEKER,138,0.783245,0.999602,0.988475,670.224,33620,34012,206.897,0.940519,222.776,192.226,0.0066263,1.15893,0.505432,0.928721,0.862523,0.00304083
SEKER,139,0.793238,0.999292,0.991303,659.408,33623,33918,206.906,0.971713,217.372,197.084,0.00646498,1.10294,0.421848,0.951853,0.906024,0.00327361
SEKER,140,0.762884,0.99818,0.988885,669.076,33631,34009,206.931,0.944058,224.889,190.753,0.00668697,1.17895,0.529661,0.920144,0.846666,0.00295687
SEKER,141,0.786252,0.998901,0.991745,663.03,33639,33919,206.955,0.961583,224.663,190.853,0.00667864,1.17715,0.527575,0.921182,0.848575,0.00296653
SEKER,142,0.766226,0.998334,0.992114,664.363,33717,33985,207.195,0.959948,231.623,185.653,0.00686961,1.24761,0.59795,0.894538,0.800198,0.00271336
SEKER,143,0.803215,0.99815,0.989963,671.696,33731,34073,207.238,0.939493,231.172,186.126,0.0068534,1.24202,0.593081,0.896467,0.803653,0.00273038
SEKER,144,0.786864,0.9994,0.992586,655.729,33736,33988,207.253,0.985949,221.39,194.136,0.00656243,1.14039,0.480683,0.936145,0.876368,0.00310898
SEKER,145,0.777732,0.999474,0.990242,665.826,33794,34127,207.432,0.957917,219,196.578,0.00648044,1.11406,0.440779,0.947177,0.897143,0.00321742
SEKER,146,0.784068,0.998906,0.990218,669.341,33809,34143,207.478,0.948303,230.247,187.164,0.00681024,1.23019,0.582427,0.901107,0.811994,0.00276979
SEKER,147,0.788438,0.999,0.992517,656.339,33824,34079,207.524,0.986685,220.754,195.282,0.00652654,1.13044,0.466328,0.940068,0.883728,0.00314413
SEKER,148,0.782128,0.998659,0.99098,661.029,33838,34146,207.567,0.973136,222.974,193.484,0.00658944,1.15242,0.497014,0.930902,0.866579,0.00305242
SEKER,149,0.763927,0.999125,0.990808,670.945,33845,34159,207.588,0.94478,226.382,190.521,0.00668878,1.18822,0.540111,0.916983,0.840857,0.00291723
SEKER,150,0.786272,0.998996,0.988609,669.571,33849,34239,207.6,0.948773,221.61,194.671,0.00654703,1.13838,0.477854,0.93678,0.877557,0.0031101
SEKER,151,0.781254,0.999051,0.991682,664.46,33858,34142,207.628,0.963681,234.335,184.139,0.00692111,1.2726,0.618487,0.88603,0.78505,0.00263117
SEKER,152,0.775183,0.998082,0.986625,683.315,33860,34319,207.634,0.911286,225.535,191.521,0.00666081,1.1776,0.528094,0.920629,0.847557,0.00295152
SEKER,153,0.7716,0.999206,0.991132,662.898,33864,34167,207.646,0.9684,221.216,195.064,0.0065325,1.13407,0.471667,0.938657,0.881077,0.00312814
SEKER,154,0.799934,0.999248,0.991074,668.421,33866,34171,207.652,0.952519,230.931,186.861,0.00681897,1.23585,0.587585,0.899196,0.808554,0.0027499
SEKER,155,0.788272,0.999409,0.990208,666.966,33876,34211,207.683,0.956962,228.149,189.165,0.00673483,1.20609,0.559059,0.910295,0.828637,0.00285256
SEKER,156,0.762729,0.999332,0.990628,666.214,33930,34251,207.849,0.960652,224.151,192.861,0.00660628,1.16224,0.509611,0.92727,0.85983,0.00301274
SEKER,157,0.791227,0.998065,0.99124,667.313,33946,34246,207.898,0.957942,231.543,187.029,0.00682091,1.238,0.589522,0.897881,0.80619,0.00273462
SEKER,158,0.761531,0.999019,0.990257,668.564,33946,34280,207.898,0.954361,234.755,184.294,0.00691554,1.27381,0.619435,0.885594,0.784277,0.00262389
SEKER,159,0.770405,0.999348,0.987841,690.353,33961,34379,207.943,0.895464,238.192,181.654,0.00701371,1.31124,0.646827,0.873006,0.762139,0.00251302
SEKER,160,0.771192,0.998695,0.990723,667.497,33961,34279,207.943,0.957837,233.114,185.733,0.00686416,1.2551,0.60431,0.892025,0.795709,0.00268087
SEKER,161,0.764706,0.998649,0.991506,666.389,33969,34260,207.968,0.961251,222.362,194.769,0.00654602,1.14167,0.482474,0.935268,0.874727,0.0030896
SEKER,162,0.785661,0.998576,0.989024,672.812,33972,34349,207.977,0.943069,232.988,185.916,0.00685824,1.25319,0.602709,0.892651,0.796825,0.00268608
SEKER,163,0.778228,0.999309,0.991078,669.092,33993,34299,208.041,0.954174,219.751,197.092,0.00646458,1.11496,0.442252,0.946716,0.896271,0.00320331
SEKER,164,0.764694,0.998141,0.991571,663.743,33996,34285,208.051,0.969701,223.096,194.381,0.00656243,1.14773,0.490774,0.932559,0.869667,0.00306161
SEKER,165,0.781971,0.999195,0.992035,659.963,34004,34277,208.075,0.981072,229.06,189.165,0.00673626,1.2109,0.563915,0.908388,0.825168,0.00282933
SEKER,166,0.778507,0.997904,0.991058,670.16,34027,34334,208.145,0.952087,231.658,187.412,0.00680806,1.23609,0.587801,0.898504,0.80731,0.00273705
SEKER,167,0.753843,0.999254,0.990311,666.067,34036,34369,208.173,0.964079,226.928,191.11,0.00666729,1.18742,0.539222,0.917352,0.841535,0.00291255
SEKER,168,0.757902,0.998985,0.986928,677.272,34051,34502,208.219,0.932854,227.621,190.664,0.00668471,1.19383,0.546225,0.914761,0.836788,0.00288731
SEKER,169,0.743986,0.998631,0.991008,671.582,34053,34362,208.225,0.948784,232.436,186.791,0.00682572,1.24436,0.595136,0.895837,0.802524,0.00271172
